iata,name,city,country,continent,timezone
MOU,Mountain Village Airport,Mountain Village,United States,North America,UTC−09:00
MOV,Moranbah Airport,Moranbah,Australia,Oceania,UTC+10:00
MOX,Morris Municipal Airport,Morris,United States,North America,UTC−06:00
MOY,Monterrey Airport,Monterrey,Colombia,South America,UTC−05:00
MOZ,Moorea Airport,Mo'orea,French Polynesia,Oceania,UTC−10:00
MPA,Katima Mulilo Airport,Katima Mulilo,Namibia,Africa,UTC+01:00
MPB,Miami Seaplane Base,Miami,United States,North America,UTC−05:00
MPC,Mukomuko Airport,Muko-Muko,Indonesia,Asia,UTC+07:00
MPD,Sindhri Airport,Mirpur Khas,Pakistan,Asia,UTC+05:00
MPF,Mapoda Airport,Mapoda,Papua New Guinea,Oceania,UTC+10:00
MPG,Makini Airport,Makini,Papua New Guinea,Oceania,UTC+10:00
MPH,Godofredo P. Ramos Airport,Malay,Philippines,Asia,UTC+08:00
MPI,Mamitupu Airport,Mamitupo,Panama,North America,UTC−05:00
MPJ,Petit Jean Park Airport,Morrilton,United States,North America,UTC−06:00
MPL,Montpellier–Méditerranée Airport,Montpellier,France,Europe,UTC+01:00
MPM,Maputo International Airport,Maputo,Mozambique,Africa,UTC+02:00
MPN,RAF Mount Pleasant,British Overseas Territory,Falkland Islands,South America,UTC−03:00
MPO,Pocono Mountains Municipal Airport,Mount Pocono,United States,North America,UTC−05:00
MPP,Mulatupo Airport,Mulatupo,Panama,North America,UTC−05:00
MPQ,Ma'an Airport,Ma'an,Jordan,Asia,UTC+02:00
MPR,McPherson Airport,McPherson,United States,North America,UTC−06:00
MPS,Mount Pleasant Regional Airport,Mount Pleasant,United States,North America,UTC−06:00
MPT,Maliana Airport,Maliana,East Timor,Asia,UTC+09:00
MPU,Mabua Airstrip,Mabua,Papua New Guinea,Oceania,UTC+10:00
MPV,Edward F. Knapp State Airport,Barre,United States,North America,UTC−05:00
MPW,Mariupol International Airport,Mariupol,Ukraine,Europe,UTC+03:00
MPX,Miyanmin Airport,Miyanmin,Papua New Guinea,Oceania,UTC+10:00
MPY,Maripasoula Airport,Maripasoula,French Guiana,Oceania,UTC−03:00
MPZ,Mount Pleasant Municipal Airport,Mount Pleasant,United States,North America,UTC−06:00
MQA,Mandora Station Airport,Mandora Station,Australia,Oceania,UTC+08:00
MQB,Macomb Municipal Airport,Macomb,United States,North America,UTC−06:00
MQC,Miquelon Airport,Miquelon,Saint Pierre and Miquelon,North America,UTC−03:00
MQD,Maquinchao Airport,Maquinchao,Argentina,South America,UTC−03:00
MQE,Marqua Airport,Marqua,Australia,Oceania,UTC+09:30
MQF,Magnitogorsk International Airport,Magnitogorsk,Russia,Asia,UTC+05:00
MQG,Midgard Airport,Midgard,Namibia,Africa,UTC+01:00
MQH,Minaçu Airport,Minaçu,Brazil,South America,UTC−03:00
MQJ,Moma Airport,Khonuu,Russia,Asia,UTC+11:00
MQK,San Matías Airport,San Matías,Bolivia,South America,UTC−04:00
MQL,Mildura Airport,Mildura,Australia,Oceania,UTC+10:00
MQM,Mardin Airport,Mardin,Turkey,Asia,UTC+03:00
MQN,"Mo i Rana Airport, Røssvoll",Mo i Rana,Norway,Europe,UTC+01:00
MQO,Malam Airport,Malam,Papua New Guinea,Oceania,UTC+10:00
MQP,Kruger Mpumalanga International Airport,Mbombela,South Africa,Africa,UTC+02:00
MQQ,Moundou Airport,Moundou,Chad,Africa,UTC+01:00
MQR,Mosquera Airport,Mosquera,Colombia,South America,UTC−05:00
MQS,Mustique Airport,Mustique Island,Saint Vincent and the Grenadines,North America,UTC−04:00
MQT,Sawyer International Airport,Marquette,United States,North America,UTC−05:00
MQU,Mariquita Airport,Mariquita,Colombia,South America,UTC−05:00
MQV,Mostaganem Airport,Mostaganem,Algeria,Africa,UTC+01:00
MQW,Telfair–Wheeler Airport,McRae,United States,North America,UTC−05:00
MQX,Alula Aba Nega Airport,Mek'ele, (Mekelle),Africa,UTC+03:00
MQY,Smyrna Airport,Smyrna,United States,North America,UTC−06:00
MQZ,Margaret River Airport,Margaret River,Australia,Oceania,UTC+08:00
MRA,Misrata Airport,Misrata,Libya,Africa,UTC+02:00
MRB,Eastern WV Regional Airport,Martinsburg,United States,North America,UTC−05:00
MRC,Maury County Airport,Columbia,United States,North America,UTC−06:00
MRD,Alberto Carnevalli Airport,Mérida,Venezuela,South America,UTC−04:00
MRE,Mara Serena Airport,Maasai Mara,Kenya,Africa,UTC+03:00
MRF,Marfa Municipal Airport,Marfa,United States,North America,UTC−06:00
MRG,Mareeba Airfield,Mareeba,Australia,Oceania,UTC+10:00
MRH,May River Airport,May River,Papua New Guinea,Oceania,UTC+10:00
MRI,Merrill Field,Anchorage,United States,North America,UTC−09:00
MRJ,Marcala Airport,Marcala,Honduras,North America,UTC−06:00
MRK,Marco Island Airport,Marco Island,United States,North America,UTC−05:00
MRL,Miners Lake Airport,Miners Lake,Australia,Oceania,UTC+10:00
MRM,Manari Airport,Manari,Papua New Guinea,Oceania,UTC+10:00
MRN,Foothills Regional Airport,Morganton,United States,North America,UTC−05:00
MRO,Hood Aerodrome,Masterton,New Zealand,Oceania,UTC+12:00
MRP,Marla Airport,Marla,Australia,Oceania,UTC+09:30
MRQ,Marinduque Airport,Marinduque Island,Philippines,Asia,UTC+08:00
MRR,José María Velasco Ibarra Airport,Macará,Ecuador,South America,UTC−05:00
MRS,Marseille Provence Airport,Marseille,France,Europe,UTC+01:00
MRT,Moroak Airport,Moroak,Australia,Oceania,UTC+09:30
MRU,Sir Seewoosagur Ramgoolam International Airport,Plaine Magnien,Mauritius,Africa,UTC+04:00
MRV,Mineralnye Vody Airport,Mineralnye Vody,Russia,Asia,UTC+03:00
MRW,Lolland Falster Airport,Maribo,Denmark,Europe,UTC+01:00
MRX,Mahshahr Airport,Bandar-e Mahshahr,Iran,Asia,UTC+03:30
MRY,Monterey Regional Airport,Monterey,United States,North America,UTC−08:00
MRZ,Moree Airport,Moree,Australia,Oceania,UTC+10:00
MSA,Muskrat Dam Airport,Muskrat Dam,Canada,North America,UTC−06:00
MSC,Falcon Field Airport,Phoenix,United States,North America,UTC−07:00
MSD,Mount Pleasant Airport,Mount Pleasant,United States,North America,UTC−07:00
MSE,Manston Airport,Manston,United Kingdom,Europe,UTC±00:00
MSF,Mount Swan Airport,Mount Swan,Australia,Oceania,UTC+09:30
MSG,Matsaile Airport,Matsaile,Lesotho,Africa,UTC+02:00
MSH,Masirah Air Base,Masirah Island,Oman,Asia,UTC+04:00
MSI,Masalembo Airport,Masalembo,Indonesia,Asia,UTC+07:00
MSJ,Misawa Airport,Misawa,Japan,Asia,UTC+09:00
MSL,Northwest Alabama Regional Airport,Muscle Shoals,United States,North America,UTC−06:00
MSM,Masi-Manimba Airport,Masi-Manimba,Democratic Republic of the Congo,Africa,UTC+01:00
MSN,Dane County Regional Airport,Madison,United States,North America,UTC−06:00
MSO,Missoula International Airport,Missoula,United States,North America,UTC−07:00
MSP,Minneapolis–Saint Paul International Airport,Minneapolis,United States,North America,UTC−06:00
MSQ,Minsk National Airport,Minsk,Belarus,Europe,UTC+03:00
MSR,Muş Airport,Muş,Turkey,Asia,UTC+03:00
MSS,Massena International Airport,Massena,United States,North America,UTC−05:00
MST,Maastricht Aachen Airport,Maastricht,Netherlands,Europe,UTC+01:00
MSU,Moshoeshoe I International Airport,Maseru,Lesotho,Africa,UTC+02:00
MSV,Sullivan County International Airport,Monticello,United States,North America,UTC−05:00
MSW,Massawa International Airport,Massawa,Eritrea,Africa,UTC+03:00
MSX,Mossendjo Airport,Mossendjo,Republic of the Congo,Africa,UTC+01:00
MSY,Louis Armstrong New Orleans International Airport,New Orleans,United States,North America,UTC−06:00
MSZ,Moçâmedes Airport,Moçâmedes,Angola,Africa,UTC+01:00
MTA,Matamata Airport,Matamata,New Zealand,Oceania,UTC+12:00
MTB,Montelíbano Airport,Montelíbano,Colombia,South America,UTC−05:00
MTC,Selfridge Air National Guard Base,Mount Clemens,United States,North America,UTC−05:00
MTD,Mount Sandford Station Airport,Mount Sandford Station,Australia,Oceania,UTC+09:30
MTE,Monte Alegre Airport,Monte Alegre,Brazil,South America,UTC−03:00
MTF,Mizan Teferi Airport,Mizan Teferi,Ethiopia,Africa,UTC+03:00
MTG,Mato Grosso Airport,Mato Grosso,Brazil,South America,UTC−04:00
MTH,Florida Keys Marathon Airport,Marathon,United States,North America,UTC−05:00
MTI,Mosteiros Airport,Mosteiros,Cape Verde,Africa,UTC−01:00
MTJ,Montrose Regional Airport,Montrose,United States,North America,UTC−07:00
MTK,Makin Airport,Makin Island, (Butaritari),Oceania,UTC+12:00
MTL,Maitland Airport,Maitland,Australia,Oceania,UTC+10:00
MTM,Metlakatla Seaplane Base,Metlakatla,United States,North America,UTC−09:00
MTN,Martin State Airport,Baltimore,United States,North America,UTC−05:00
MTO,Coles County Memorial Airport,Mattoon,United States,North America,UTC−06:00
MTP,Montauk Airport,Montauk,United States,North America,UTC−05:00
MTQ,Mitchell Airport,Mitchell,Australia,Oceania,UTC+10:00
MTR,Los Garzones Airport,Montería,Colombia,South America,UTC−05:00
MTS,Matsapha Airport,Manzini,Eswatini,Africa,UTC+02:00
MTT,Minatitlán/Coatzacoalcos International Airport,Minatitlán,Mexico,North America,UTC−06:00
MTU,Montepuez Airport,Montepuez,Mozambique,Africa,UTC+02:00
MTV,Mota Lava Airport,Mota Lava,Vanuatu,Oceania,UTC+11:00
MTW,Manitowoc County Airport,Manitowoc,United States,North America,UTC−06:00
MTX,Metro Field,Fairbanks,United States,North America,UTC−09:00
MTY,General Mariano Escobedo International Airport,Monterrey,Mexico,North America,UTC−06:00
MTZ,Bar Yehuda Airfield,Masada,Israel,Asia,UTC+02:00
MUA,Munda Airport,Munda,Solomon Islands,Oceania,UTC+11:00
MUB,Maun Airport,Maun,Botswana,Africa,UTC+02:00
MUC,Munich Airport,Munich,Germany,Europe,UTC+01:00
MUD,Mueda Airport,Mueda,Mozambique,Africa,UTC+02:00
MUE,Waimea-Kohala Airport,Kamuela,United States,North America,UTC−10:00
MUF,Muting Airport,Muting,Indonesia,Asia,UTC+09:00
MUG,Mulegé Airstrip,Mulegé,Mexico,North America,UTC−07:00
MUH,Marsa Matruh International Airport,Mersa Matruh,Egypt,Africa,UTC+02:00
MUI,Muir Army Airfield,Fort Indiantown Gap,United States,North America,UTC−05:00
MUJ,Mui Airport,Mui,Ethiopia,Africa,UTC+03:00
MUK,Mauke Airport,Mauke Island,Cook Islands,Oceania,UTC−10:00
MUL,Spence Airport,Moultrie,United States,North America,UTC−05:00
MUN,José Tadeo Monagas International Airport,Maturín,Venezuela,South America,UTC−04:00
MUO,Mountain Home Air Force Base,Mountain Home,United States,North America,UTC−07:00
MUP,Mulga Park Airport,Mulga Park,Australia,Oceania,UTC+09:30
MUQ,Muccan Station Airport,Muccan Station,Australia,Oceania,UTC+08:00
MUR,Marudi Airport,Marudi,Malaysia,Asia,UTC+08:00
MUS,Minami Torishima Airport,Minami-Tori-shima,Japan,Asia,UTC+09:00
MUT,Muscatine Municipal Airport,Muscatine,United States,North America,UTC−06:00
MUW,Ghriss Airport,Ghriss,Algeria,Africa,UTC+01:00
MUX,Multan International Airport,Multan,Pakistan,Asia,UTC+05:00
MUY,Mouyondzi Airport,Mouyondzi,Republic of the Congo,Africa,UTC+01:00
MUZ,Musoma Airport,Musoma,Tanzania,Africa,UTC+03:00
MVA,Mývatn Airport,Mývatn,Iceland,Europe,UTC±00:00
MVB,M'Vengue El Hadj Omar Bongo Ondimba International Airport,Franceville,Gabon,Africa,UTC+01:00
MVC,Monroe County Airport,Monroeville,United States,North America,UTC−06:00
MVD,Carrasco Gral. Cesáreo L. Berisso International Airport,Montevideo,Uruguay,South America,UTC−03:00
MVE,Montevideo–Chippewa County Airport,Montevideo,United States,North America,UTC−06:00
MVF,Gov. Dix-Sept Rosado Airport,Mossoró,Brazil,South America,UTC−03:00
MVG,Mevang Airport,Mevang,Gabon,Africa,UTC+01:00
MVH,Macksville Airport,Macksville,Australia,Oceania,UTC+10:00
MVI,Manetai Airport,Manetai,Papua New Guinea,Oceania,UTC+11:00
MVK,Mulka Airport,Mulka,Australia,Oceania,UTC+09:30
MVL,Morrisville–Stowe State Airport,Morrisville,United States,North America,UTC−05:00
MVM,Kayenta Airport,Kayenta,United States,North America,UTC−07:00
MVN,Mount Vernon Airport,Mount Vernon,United States,North America,UTC−06:00
MVO,Mongo Airport,Mongo,Chad,Africa,UTC+01:00
MVP,Fabio Alberto León Bentley Airport,Mitú,Colombia,South America,UTC−05:00
MVQ,Mogilev Airport,Mogilev,Belarus,Europe,UTC+03:00
MVR,Salak Airport,Maroua,Cameroon,Africa,UTC+01:00
MVS,Mucuri Airport,Mucuri,Brazil,South America,UTC−03:00
MVT,Mataiva Airport,Mataiva,French Polynesia,Oceania,UTC−10:00
MVU,Musgrave Airport,Musgrave,Australia,Oceania,UTC+08:00
MVV,Megève Altiport,Megève,France,Europe,UTC+01:00
MVW,Skagit Regional Airport,Burlington,United States,North America,UTC−08:00
MVX,Minvoul Airport,Minvoul,Gabon,Africa,UTC+01:00
MVY,Martha's Vineyard Airport,Vineyard Haven,United States,North America,UTC−05:00
MVZ,Masvingo Airport,Masvingo,Zimbabwe,Africa,UTC+02:00
MWA,Williamson County Regional Airport,Marion,United States,North America,UTC−06:00
MWB,Morawa Airport,Morawa,Australia,Oceania,UTC+08:00
MWC,Lawrence J. Timmerman Airport,Milwaukee,United States,North America,UTC−06:00
MWD,PAF Base M.M. Alam,Mianwali,Pakistan,Asia,UTC+05:00
MWE,Merowe Airport,Merowe,Sudan,Africa,UTC+03:00
MWF,Maewo-Naone Airport,Maewo,Vanuatu,Oceania,UTC+11:00
MWG,Marawaka Airport,Marawaka,Papua New Guinea,Oceania,UTC+10:00
MWH,Grant County International Airport,Moses Lake,United States,North America,UTC−08:00
MWI,Maramuni Airport,Maramuni,Papua New Guinea,Oceania,UTC+10:00
MWJ,Matthews Ridge Airport,Matthew's Ridge,Guyana,South America,UTC−04:00
MWK,Matak Airport,Matak,Indonesia,Asia,UTC+07:00
MWL,Mineral Wells Airport,Mineral Wells,United States,North America,UTC−06:00
MWM,Windom Municipal Airport,Windom,United States,North America,UTC−06:00
MWN,Mwadui Airport,Mwadui,Tanzania,Africa,UTC+03:00
MWO,Middletown Regional Airport,Middletown,United States,North America,UTC−05:00
MWQ,Magway Airport,Magway,Myanmar,Asia,UTC+06:30
MWR,Motswari Airstrip,Motswari,South Africa,Africa,UTC+02:00
MWT,Moolawatana Airport,Moolawatana Station,Australia,Oceania,UTC+09:30
MWU,Mussau Island Airport,Mussau Island,Papua New Guinea,Oceania,UTC+10:00
MWV,Mondulkiri Airport,Senmonorom,Cambodia,Asia,UTC+07:00
MWX,Muan International Airport,Muan,South Korea,Asia,UTC+09:00
MWY,Miranda Downs Airport,Miranda Downs,Australia,Oceania,UTC+10:00
MWZ,Mwanza Airport,Mwanza,Tanzania,Africa,UTC+03:00
MXA,Manila Municipal Airport,Manila,United States,North America,UTC−06:00
MXB,Andi Jemma Airport,Masamba,Indonesia,Asia,UTC+08:00
MXC,Monticello Airport,Monticello,United States,North America,UTC−07:00
MXD,Marion Downs Airport,Marion Downs Station,Australia,Oceania,UTC+10:00
MXE,Laurinburg–Maxton Airport,Laurinburg,United States,North America,UTC−05:00
MXF,Maxwell Air Force Base,Montgomery,United States,North America,UTC−06:00
MXG,Marlboro Airport,Marlborough,United States,North America,UTC−05:00
MXH,Moro Airport,Moro,Papua New Guinea,Oceania,UTC+10:00
MXI,Mati Airport,Mati,Philippines,Asia,UTC+08:00
MXJ,Minna Airport,Minna,Nigeria,Africa,UTC+01:00
MXK,Mindik Airport,Mindik,Papua New Guinea,Oceania,UTC+10:00
MXL,General Rodolfo Sánchez Taboada International Airport,Mexicali,Mexico,North America,UTC−08:00
MXM,Morombe Airport,Morombe,Madagascar,Africa,UTC+03:00
MXN,Morlaix – Ploujean Airport,Morlaix,France,Europe,UTC+01:00
MXO,Monticello Regional Airport,Monticello,United States,North America,UTC−06:00
MXP,Milan–Malpensa Airport,Milan,Italy,Europe,UTC+01:00
MXR,Myrhorod Air Base,Myrhorod,Ukraine,Europe,UTC+02:00
MXS,Maota Airport,Maota,Samoa,Oceania,UTC+13:00
MXT,Maintirano Airport,Maintirano,Madagascar,Africa,UTC+03:00
MXU,Mullewa Airport,Mullewa,Australia,Oceania,UTC+08:00
MXV,Mörön Airport,Mörön,Mongolia,Asia,UTC+08:00
MXW,Mandalgovi Airport,Mandalgovi,Mongolia,Asia,UTC+08:00
MXX,Mora–Siljan Airport,Mora,Sweden,Europe,UTC+01:00
MXY,McCarthy Airport,McCarthy,United States,North America,UTC−09:00
MXZ,Meixian Airport,Meizhou,China,Asia,UTC+08:00
MYA,Moruya Airport,Moruya,Australia,Oceania,UTC+10:00
MYB,Mayumba Airport,Mayumba,Gabon,Africa,UTC+01:00
MYC,Mariscal Sucre Airport,Maracay,Venezuela,South America,UTC−04:00
MYD,Malindi Airport,Malindi,Kenya,Africa,UTC+03:00
MYE,Miyakejima Airport,Miyake-jima,Japan,Asia,UTC+09:00
MYF,Montgomery Field Airport,San Diego,United States,North America,UTC−08:00
MYG,Mayaguana Airport,Mayaguana,Bahamas,North America,UTC−05:00
MYH,Marble Canyon Airport,Marble Canyon,United States,North America,UTC−07:00
MYI,Murray Island Airport,Murray Island,Australia,Oceania,UTC+10:00
MYJ,Matsuyama Airport,Matsuyama,Japan,Asia,UTC+09:00
MYK,May Creek Airport,May Creek,United States,North America,UTC−09:00
MYL,McCall Municipal Airport,McCall,United States,North America,UTC−07:00
MYM,Monkey Mountain Airport,Monkey Mountain,Guyana,South America,UTC−04:00
MYN,Marib Airport,Ma'rib,Yemen,Asia,UTC+03:00
MYO,Myroodah Airport,Myroodah Station,Australia,Oceania,UTC+08:00
MYP,Mary International Airport,Mary,Turkmenistan,Asia,UTC+05:00
MYQ,Mysore Airport,Mysore,India,Asia,UTC+05:30
MYR,Myrtle Beach International Airport,Myrtle Beach,United States,North America,UTC−05:00
MYT,Myitkyina Airport,Myitkyina,Myanmar,Asia,UTC+06:30
MYU,Mekoryuk Airport,Mekoryuk,United States,North America,UTC−09:00
MYV,Yuba County Airport,Marysville,United States,North America,UTC−08:00
MYW,Mtwara Airport,Mtwara,Tanzania,Africa,UTC+03:00
MYX,Menyamya Airport,Menyamya,Papua New Guinea,Oceania,UTC+10:00
MYY,Miri Airport,Miri,Malaysia,Asia,UTC+08:00
MYZ,Monkey Bay Airport,Monkey Bay,Malawi,Africa,UTC+02:00
MZA,Manuel Prado Ugarteche Airport,Mazamari,Peru,South America,UTC−05:00
MZB,Mocímboa da Praia Airport,Mocímboa da Praia,Mozambique,Africa,UTC+02:00
MZC,Mitzic Airport,Mitzic,Gabon,Africa,UTC+01:00
MZD,Méndez Airport,Santiago de Méndez,Ecuador,South America,UTC−05:00
MZE,Manatee Airport,Spanish Lookout,Belize,North America,UTC−06:00
MZF,Wild Coast Sun Airport,Mzamba,South Africa,Africa,UTC+02:00
MZG,Magong Airport,Magong,Taiwan,Asia,UTC+08:00
MZH,Amasya Merzifon Airport,Amasya,Turkey,Asia,UTC+03:00
MZI,Mopti Airport,Mopti,Mali,Africa,UTC±00:00
MZJ,Pinal Airpark,Marana,United States,North America,UTC−07:00
MZK,Marakei Airport,Marakei,Kiribati,Oceania,UTC+12:00
MZL,La Nubia Airport,Manizales,Colombia,South America,UTC−05:00
MZM,Metz-Frescaty Air Base,Metz,France,Europe,UTC+01:00
MZN,Minj Airport,Minj,Papua New Guinea,Oceania,UTC+10:00
MZO,Sierra Maestra Airport,Manzanillo,Cuba,North America,UTC−05:00
MZP,Motueka Aerodrome,Motueka,New Zealand,Oceania,UTC+12:00
MZQ,Mkuze Airport,Mkuze,South Africa,Africa,UTC+02:00
MZR,Mazar-e Sharif International Airport,Mazar-i-Sharif,Afghanistan,Asia,UTC+04:30
MZT,General Rafael Buelna International Airport,Mazatlán,Mexico,North America,UTC−07:00
MZU,Muzaffarpur Airport,Muzaffarpur,India,Asia,UTC+05:30
MZV,Mulu Airport,Mulu,Malaysia,Asia,UTC+08:00
MZW,Mécheria Airport,Mécheria,Algeria,Africa,UTC+01:00
MZX,Mena Airport,Mena,Ethiopia,Africa,UTC+03:00
MZY,Mossel Bay Airport,Mossel Bay,South Africa,Africa,UTC+02:00
MZZ,Marion Municipal Airport,Marion,United States,North America,UTC−05:00
NAA,Narrabri Airport,Narrabri,Australia,Oceania,
NAC,Naracoorte Airport,Naracoorte,Australia,Oceania,
NAD,Macanal Airport,Macanal,Colombia,South America,
NAE,Boundétingou Airport,Natitingou,Benin,Africa,
NAF,Banaina Airport,Banaina,Indonesia,Asia,
NAG,Dr. Babasaheb Ambedkar International Airport,Nagpur,India,Asia,
NAH,Naha Airport,Tahuna,Indonesia,Asia,
NAI,Annai Airport,Annai,Guyana,South America,
NAJ,Nakhchivan International Airport,Nakhchivan,Azerbaijan,Europe,
NAK,Nakhon Ratchasima Airport,Nakhon Ratchasima,Thailand,Asia,
NAL,Nalchik Airport,Nalchik,Russia,Asia,
NAM,Namlea Airport,Namlea,Indonesia,Asia,
NAN,Nadi International Airport,Nadi,Fiji,Oceania,
NAO,Nanchong Gaoping Airport,Nanchong,China,Asia,
NAP,Naples International Airport,Naples,Italy,Europe,
NAQ,Qaanaaq Airport,Qaanaaq,Greenland,North America,UTC-04:00
NAR,Puerto Nare Airport,Puerto Nare,Colombia,South America,
NAS,Lynden Pindling International Airport,Nassau,Bahamas,North America,
NAT,São Gonçalo do Amarante–Governador Aluízio Alves International Airport,Natal,Brazil,South America,
NAU,Napuka Airport,Napuka,French Polynesia,Oceania,
NAV,Nevşehir Kapadokya Airport,Nevşehir,Turkey,Asia,
NAW,Narathiwat Airport,Narathiwat,Thailand,Asia,
NAY,Beijing Nanyuan Airport,Beijing,China,Asia,
NAZ,Nana Airport,Star Harbour,Solomon Islands,Oceania,
NBA,Nambaiyufa Airport,Nambaiyufa,Papua New Guinea,Oceania,
NBB,Barranco Minas Airport,Barranco Minas,Colombia,South America,
NBC,Begishevo Airport,Nizhnekamsk,Russia,Asia,
NBE,Enfidha-Hammamet International Airport,Enfidha,Tunisia,Africa,
NBG,NAS JRB New Orleans,New Orleans,United States,North America,
NBH,Nambucca Heads Airport,Nambucca Heads,Australia,Oceania,
NBL,Wannukandi Airport,San Blas,Panama,North America,
NBN,Annobón Airport,Annobón,Equatorial Guinea,Africa,
NBO,Jomo Kenyatta International Airport,Nairobi,Kenya,Africa,
NBS,Changbaishan Airport,Baishan,China,Asia,
NBW,Leeward Point Field,Guantánamo Bay,Cuba,North America,
NBX,Nabire Airport,Nabire,Indonesia,Asia,
NCA,North Caicos Airport,North Caicos,Turks and Caicos Islands,North America,
NCE,Nice Côte d'Azur Airport,Nice,France,Europe,
NCG,Nuevo Casas Grandes Municipal Airport,Nuevo Casas Grandes,Mexico,North America,
NCH,Nachingwea Airport,Nachingwea,Tanzania,Africa,
NCI,Antioquia Airport,Necoclí,Colombia,South America,
NCJ,Sunchales Aeroclub Airport,Sunchales,Argentina,South America,
NCL,Newcastle Airport,Newcastle upon Tyne,United Kingdom,Europe,
NCN,Chenega Bay Airport,Chenega,United States,North America,
NCO,Quonset State Airport,North Kingstown,United States,North America,
NCR,San Carlos Airport,San Carlos,Nicaragua,North America,
NCS,Newcastle Airport,Newcastle,South Africa,Africa,
NCT,Nicoya Guanacaste Airport,Nicoya,Costa Rica,North America,
NCU,Nukus Airport,Nukus,Uzbekistan,Asia,
NCY,Annecy – Haute-Savoie – Mont Blanc Airport,Annecy,France,Europe,
NDA,Bandanaira Airport,Banda Islands,Indonesia,Asia,
NDB,Nouadhibou International Airport,Nouadhibou,Mauritania,Africa,
NDC,Shri Guru Gobind Singh Ji Airport,Nanded,India,Asia,
NDD,Sumbe Airport,Sumbe,Angola,Africa,
NDE,Mandera Airport,Mandera,Kenya,Africa,
NDF,N'dalatando Airport,N'dalatando,Angola,Africa,
NDG,Qiqihar Sanjiazi Airport,Qiqihar,China,Asia,
NDI,Namudi Airport,Namudi,Papua New Guinea,Oceania,
NDJ,N'Djamena International Airport,N'Djamena,Chad,Africa,
NDK,Namorik Airport,Namdrik Atoll,Marshall Islands,Oceania,
NDL,N'Délé Airport,N'Délé,Central African Republic,Africa,
NDM,Mendi Airport,Mendi,Ethiopia,Africa,
NDN,Nadunumu Airport,Nadunumu,Papua New Guinea,Oceania,
NDP,Naval Air Station Ellyson Field,Pensacola,United States,North America,
NDR,Nador International Airport,Nador,Morocco,Africa,
NDS,Sandstone Airport,Sandstone,Australia,Oceania,
NDU,Rundu Airport,Rundu,Namibia,Africa,
NDY,Sanday Airport,Sanday,United Kingdom,Europe,
NEC,Necochea Airport,Necochea,Argentina,South America,
NEF,Neftekamsk Airport,Neftekamsk,Russia,Asia,
NEG,Negril Aerodrome,Negril,Jamaica,North America,
NEJ,Nejjo Airport,Nejo,Ethiopia,Africa,
NEK,Nekemte Airport,Nekemte,Ethiopia,Africa,
NEL,NAES Lakehurst,Lakehurst,United States,North America,
NEN,NOLF Whitehouse,Jacksonville,United States,North America,
NER,Chulman Neryungri Airport,Neryungri,Russia,Asia,
NEU,Nathong Airport,Xam Neua,Laos,Asia,
NEV,Vance W. Amory International Airport,Nevis,Saint Kitts and Nevis,North America,
NEW,Lakefront Airport,New Orleans,United States,North America,
NFG,Nefteyugansk Airport,Nefteyugansk,Russia,Asia,
NFL,NAS Fallon,Fallon,United States,North America,
NFO,Niuafo'ou Airport,Niuafo'ou,Tonga,Oceania,
NFR,Nafoora Airport,Nafoora,Libya,Africa,
NGA,Young Airport,Young,Australia,Oceania,
NGB,Ningbo Lishe International Airport,Ningbo,China,Asia,
NGD,Auguste George Airport,Anegada,Virgin Islands,North America,
NGE,Ngaoundéré Airport,Ngaoundéré,Cameroon,Africa,
NGF,MCAS Kaneohe Bay,Kaneohe,United States,North America,
NGI,Gau Airport,Gau Island,Fiji,Oceania,
NGK,Nogliki Airport,Nogliki,Russia,Asia,
NGL,Ngala Airfield,Ngala,South Africa,Africa,
NGN,Narganá Airport,Narganá,Panama,North America,
NGO,Chūbu Centrair International Airport,Nagoya,Japan,Asia,
NGP,NAS Corpus Christi,Corpus Christi,United States,North America,
NGQ,Ngari Gunsa Airport,Shiquanhe,China,Asia,
NGR,Ningerum Airport,Ningerum,Papua New Guinea,Oceania,
NGS,Nagasaki Airport,Nagasaki,Japan,Asia,
NGU,NS Norfolk,Norfolk,United States,North America,
NGW,NOLF Cabaniss Field,Corpus Christi,United States,North America,
NGX,Manang Airport,Manang,Nepal,Asia,
NHA,Nha Trang Air Base,Nha Trang,Vietnam,Asia,
NHD,Al Minhad Air Base,Dubai,United Arab Emirates,Asia,
NHF,New Halfa Airport,New Halfa,Sudan,Africa,
NHK,NAS Patuxent River,Patuxent River,United States,North America,
NHS,Nushki Airport,Nushki,Pakistan,Asia,
NHT,RAF Northolt,Northolt,United Kingdom,Europe,
NHV,Nuku Hiva Airport,Nuku Hiva,French Polynesia,Oceania,
NHX,NOLF Barin,Foley,United States,North America,
NHZ,Brunswick Executive Airport,Brunswick,United States,North America,
NIA,Nimba Airport,Nimba,Liberia,Africa,
NIB,Nikolai Airport,Nikolai,United States,North America,
NIC,Nicosia International Airport,Nicosia,Cyprus,Europe,
NIF,Nifty Airport,Nifty Copper Mine,Australia,Oceania,
NIG,Nikunau Airport,Nikunau,Kiribati,Oceania,
NIK,Niokolo-Koba Airport,Niokolo-Koba,Senegal,Africa,
NIM,Diori Hamani International Airport,Niamey,Niger,Africa,
NIN,Ninilchik Airport,Ninilchik,United States,North America,
NIO,Nioki Airport,Nioki,Democratic Republic of the Congo,Africa,
