iata,name,city,country,continent,timezone
DHI,Dhangadhi Airport,Dhangadhi,Nepal,Asia,UTC+05:45
DHL,Dhala Airport,Dhala,Yemen,Asia,UTC+03:00
DHM,Gaggal Airport,Kangra,India,Asia,UTC+05:30
DHN,Dothan Regional Airport,Dothan,United States,North America,UTC−06:00
DHR,De Kooy Airfield,Den Helder,Netherlands,Europe,UTC+01:00
DHT,Dalhart Municipal Airport,Dalhart,United States,North America,UTC−06:00
DIA,Doha International Airport,Doha,Qatar,Asia,UTC+03:00
DIB,Dibrugarh Airport,Dibrugarh,India,Asia,UTC+05:30
DIE,Arrachart Airport,Antsiranana,Madagascar,Africa,UTC+03:00
DIG,Diqing Shangri-La Airport,Shangri-La,China,Asia,UTC+08:00
DIJ,Dijon Air Base,Dijon,France,Europe,UTC+01:00
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,United States,North America,UTC−07:00
DIL,Presidente Nicolau Lobato International Airport,Dili,East Timor,Asia,UTC+09:00
DIM,Dimbokro Airport,Dimbokro,Ivory Coast,Africa,UTC±00:00
DIN,Dien Bien Phu Airport,Dien Bien Phu,Vietnam,Asia,UTC+07:00
DIO,Diomede Heliport,"Diomede, Alaska","Diomede, Alaska",North America,UTC−09:00
DIP,Diapaga Airport,Diapaga,Burkina Faso,Africa,UTC±00:00
DIQ,Divinópolis Airport,Divinópolis,Brazil,South America,UTC−03:00
DIR,Aba Tenna Dejazmach Yilma International Airport,Dire Dawa,Ethiopia,Africa,UTC+03:00
DIS,Dolisie Airport,Dolisie,Republic of the Congo,Africa,UTC+01:00
DIU,Diu Airport,Diu,India,Asia,UTC+05:30
DIV,Divo Airport,Divo,Ivory Coast,Africa,UTC±00:00
DIW,Mawella Lagoon Seaplane Base,Dickwella,Sri Lanka,Asia,UTC+05:30
DIY,Diyarbakır Airport,Diyarbakır,Turkey,Asia,UTC+03:00
DJA,Djougou Airport,Djougou,Benin,Africa,UTC+01:00
DJB,Sultan Thaha Airport,Jambi,Indonesia,Asia,UTC+07:00
DJE,Djerba–Zarzis International Airport,Djerba,Tunisia,Africa,UTC+01:00
DJG,Tiska Djanet Airport,Djanet,Algeria,Africa,UTC+01:00
DJH,Jebel Ali Seaplane Base,Dubai,United Arab Emirates,Asia,UTC+04:00
DJJ,Sentani Airport,Jayapura,Indonesia,Asia,UTC+09:00
DJM,Djambala Airport,Djambala,Republic of the Congo,Africa,UTC+01:00
DJN,Delta Junction Airport,Delta Junction,United States,North America,UTC−09:00
DJO,Daloa Airport,Daloa,Ivory Coast,Africa,UTC±00:00
DJU,Djúpivogur Airport,Djúpivogur,Iceland,Europe,UTC±00:00
DKA,Katsina Airport,Katsina,Nigeria,Africa,UTC+01:00
DKI,Dunk Island Airport,Dunk Island,Australia,Oceania,UTC+10:00
DKK,Chautauqua County/Dunkirk Airport,Dunkirk,United States,North America,UTC−05:00
DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,Africa,UTC±00:00
DKS,Dikson Airport,Dikson,Russia,Asia,UTC+07:00
DKV,Docker River Airport,Docker River,Australia,Oceania,UTC+09:30
DLA,Douala International Airport,Douala,Cameroon,Africa,UTC+01:00
DLB,Dalbertis Airport,Dalbertis,Papua New Guinea,Oceania,UTC+10:00
DLC,Dalian Zhoushuizi International Airport,Dalian,China,Asia,UTC+08:00
DLE,Dole–Jura Airport,Dole,France,Europe,UTC+01:00
DLF,Laughlin Air Force Base,Del Rio,United States,North America,UTC−06:00
DLG,Dillingham Airport,Dillingham,United States,North America,UTC−09:00
DLH,Duluth International Airport,Duluth,United States,North America,UTC−06:00
DLI,Lien Khuong Airport,Da Lat,Vietnam,Asia,UTC+07:00
